month,登園可能日数,こどもの認定区分
2024-04,15,1号認定
2024-05,21,1号認定
2024-06,20,1号認定
2024-07,17,1号認定
2024-08,12,1号認定
2024-09,19,1号認定
2024-10,22,1号認定
2024-11,19,1号認定
2024-12,16,1号認定
2025-01,19,1号認定
2025-02,17,1号認定
2025-03,15,1号認定
2025-04,21,"2,3号認定"
2025-05,20,"2,3号認定"
2025-06,21,"2,3号認定"
2025-07,22,"2,3号認定"
2025-08,20,"2,3号認定"
2025-09,20,"2,3号認定"
2025-10,22,"2,3号認定"
2025-11,17,"2,3号認定"
2025-12,20,"2,3号認定"
2026-01,19,"2,3号認定"
2026-02,18,"2,3号認定"
2026-03,21,"2,3号認定"
2026-04,21,"2,3号認定"
2026-05,18,"2,3号認定"
2026-06,22,"2,3号認定"
2026-07,22,"2,3号認定"
2026-08,20,"2,3号認定"
2026-09,19,"2,3号認定"
2026-10,21,"2,3号認定"
2026-11,19,"2,3号認定"
2026-12,20,"2,3号認定"
2027-01,19,"2,3号認定"
2027-02,18,"2,3号認定"
2027-03,22,"2,3号認定"
